Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
44	-3.5990658	1.6604522	-1.5	-10.0	0.009345794	0.09622083	1.0	0.0	46.476635	405.0	0.0018	-0.025920214	0.037924852	0.09652414	-0.38046876	0.0	0.0	0.0	0.0	-8.869171e-09	-0.0057094935	0.0	0.0	0.0062251748	-0.0008885721	100.0	0.0	79.0	0.5362342	0.0066463305	225000	22336.768003225327
45	-3.5694442	1.5934738	-1.6	-10.0	0.009259259	0.09577851	1.0	0.0	46.287037	406.0	0.0017652173913043478	-0.027583472	0.04663577	0.08332154	-0.37040746	0.0	0.0	0.0	0.0	-6.5803527e-09	-0.0063087037	0.0	0.0	0.006906196	-0.00067374995	100.0	0.0	79.0	0.5455616	0.005252491	230000	22832.677035093307
46	-3.3477879	1.3953841	-1.6	-10.0	0.0	0.0	0.0	0.0	44.18584	406.0	0.0017276595744680852	-0.02599547	0.038815796	0.06729636	-0.2848629	0.0	0.0	0.0	0.0	1.5449524e-08	-0.006813899	0.0	0.0	0.0010201426	-0.0006542247	100.0	0.0	79.0	0.572255	0.0065001724	235000	23332.911212921143
47	-3.4207208	1.5765806	-1.6	-10.0	0.0	0.0	0.0	0.0	44.81081	406.0	0.0016916666666666666	-0.020857383	0.029508812	0.03698399	-0.1367876	0.0	0.0	0.0	0.0	5.531311e-09	-0.008359121	0.0	0.0	0.00023652472	-7.427842e-05	100.0	0.0	79.0	0.567505	0.007022325	240000	23828.136602640152
48	-3.425225	1.5676613	-1.5	-10.0	0.0	0.0	0.0	0.0	44.855854	406.0	0.0016571428571428572	-0.018898582	0.026129391	0.024992168	-0.16198003	0.0	0.0	0.0	0.0	1.0681152e-08	-0.007249342	0.0	0.0	0.00021947212	-6.869699e-05	100.0	0.0	79.0	0.55480313	0.00795385	245000	24322.490742206573
49	-3.4387383	1.5965713	-1.4	-10.0	0.018018018	0.13301642	1.0	0.0	44.792793	408.0	0.001632	-0.017748898	0.02474097	0.028382866	-0.15462182	0.0	0.0	0.0	0.0	1.6593933e-08	-0.0046490165	0.0	0.0	0.00910068	-0.0033930326	100.0	0.0	8.0	0.57055664	0.014182394	250000	24817.47215938568
50	-3.4558558	1.7620466	-1.5	-10.0	0.0	0.0	0.0	0.0	44.963963	408.0	0.0016	-0.026953423	0.049873322	0.06004091	-0.7100927	0.0	0.0	0.0	0.0	-1.3923645e-08	-0.010631586	0.0	0.0	0.0016172763	-0.0013627419	100.0	0.0	79.0	0.5806673	0.006992892	255000	25312.391917467117
51	-3.5321095	1.7594767	-1.3	-10.0	0.018348623	0.1342086	1.0	0.0	45.715595	410.0	0.0015769230769230769	-0.024442485	0.03751641	0.032735493	-0.310595	0.0	0.0	0.0	0.0	7.05719e-09	-0.0014064646	0.0	0.0	0.008941867	-0.001434505	100.0	0.0	4.0	0.59257185	0.011445612	260000	25808.193892478943
52	-3.5146792	1.5828685	-1.4	-10.0	0.0091743115	0.09534224	1.0	0.0	45.6422	411.0	0.0015509433962264151	-0.027791332	0.03946204	0.09145889	-0.28168407	0.0	0.0	0.0	0.0	3.1471252e-09	-0.0067436737	0.0	0.0	0.0060181185	-0.00076784985	100.0	0.0	79.0	0.5469461	0.006522315	265000	26304.162987470627
53	-3.267826	1.5314415	-1.2	-10.0	0.0	0.0	0.0	0.0	43.29565	411.0	0.0015222222222222221	-0.022702783	0.03425949	0.04208456	-0.2524677	0.0	0.0	0.0	0.0	1.0490417e-09	-0.008578524	0.0	0.0	0.0005254	-0.00035362682	100.0	0.0	79.0	0.5427917	0.008573729	270000	26798.282237052917
