Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
38	-7.0142856	2.0213823	-3.1	-10.0	0.0	0.0	0.0	0.0	79.22222	372.0	0.0019076923076923077	-0.034567475	0.03965582	0.044782355	-0.4190782	0.0	0.0	0.0	0.0	-3.0517577e-09	-0.010196491	0.0	0.0	0.0019019496	-0.0009675838	100.0	0.0	79.0	0.7545292	0.009820129	195000	17721.42625808716
39	-6.2130437	2.333183	-2.1	-10.0	0.0	0.0	0.0	0.0	71.05797	372.0	0.00186	-0.0319653	0.020441541	0.017902475	-0.12003485	0.0	0.0	0.0	0.0	1.001358e-09	-0.0070136604	0.0	0.0	0.00026589676	-6.776498e-05	100.0	0.0	79.0	0.7245617	0.0065761805	200000	18183.755742788315
40	-6.1171427	2.1715019	-1.9	-10.0	0.0	0.0	0.0	0.0	70.75714	372.0	0.0018146341463414633	-0.026998648	0.01972412	0.027835896	-0.11077374	0.0	0.0	0.0	0.0	-5.817413e-09	-0.006760253	0.0	0.0	0.00016582882	-4.4367363e-05	100.0	0.0	79.0	0.72465	0.0067739547	205000	18643.024055480957
41	-6.29	2.661962	-0.8	-10.0	0.0	0.0	0.0	0.0	71.38571	372.0	0.0017714285714285714	-0.027060376	0.017964253	0.028723534	-0.08846095	0.0	0.0	0.0	0.0	8.773804e-09	-0.008729498	0.0	0.0	0.00018577048	-2.2121152e-05	100.0	0.0	79.0	0.7048611	0.006242962	210000	19101.18952703476
42	-5.9430556	2.2667785	-1.0	-10.0	0.013888889	0.117029846	1.0	0.0	68.90278	373.0	0.0017348837209302326	-0.028052988	0.017708585	0.04194745	-0.10269793	0.0	0.0	0.0	0.0	7.6293943e-10	-0.005326498	0.0	0.0	0.0017939406	-0.00016371615	100.0	0.0	79.0	0.66418076	0.0070995507	215000	19555.98171401024
43	-5.713333	2.407396	-1.1	-10.0	0.013333334	0.11469768	1.0	0.0	66.52	374.0	0.0017	-0.027403906	0.020662235	0.050690725	-0.16568848	0.0	0.0	0.0	0.0	-6.2942505e-09	-0.0038824677	0.0	0.0	0.0017896835	-8.385349e-05	100.0	0.0	79.0	0.6710102	0.006987666	220000	20006.953588724136
44	-5.084146	2.3841689	-0.5	-10.0	0.1097561	0.3125855	1.0	0.0	60.09756	383.0	0.0017022222222222222	-0.02661055	0.023024736	0.036121562	-0.19033124	0.0	0.0	0.0	0.0	7.629395e-09	-0.0041139578	0.0	0.0	0.04047992	-0.010911116	100.0	0.0	5.0	0.6499537	0.01808753	225000	20460.459198474884
45	-6.0647893	2.490042	-0.5	-10.0	0.0	0.0	0.0	0.0	69.633804	383.0	0.0016652173913043477	-0.07237297	0.082860254	0.10172712	-1.008616	0.0	0.0	0.0	0.0	1.0871887e-08	-0.0032973383	0.0	0.0	0.0078267185	-0.006797261	100.0	0.0	5.0	0.5746414	0.017385108	230000	20923.35618710518
46	-6.097183	2.3895295	-0.9	-10.0	0.014084507	0.11783943	1.0	0.0	70.26761	384.0	0.0016340425531914894	-0.035916265	0.027044153	0.053810768	-0.22915974	0.0	0.0	0.0	0.0	-2.9563905e-09	-0.004718607	0.0	0.0	0.0070597106	-0.00054617925	100.0	0.0	79.0	0.5422292	0.0029879475	235000	21377.874634742737
47	-6.2681155	2.322386	-1.4	-10.0	0.0	0.0	0.0	0.0	71.927536	384.0	0.0016	-0.040725853	0.043033697	0.10238569	-0.33606052	0.0	0.0	0.0	0.0	9.822846e-09	-0.007960467	0.0	0.0	0.0018818184	-0.0015094703	100.0	0.0	45.0	0.5355006	0.013354911	240000	21849.816730499268
48	-5.737838	2.3492208	-0.4	-10.0	0.027027028	0.16216217	1.0	0.0	67.04054	386.0	0.0015755102040816327	-0.026044296	0.023583323	0.14668107	-0.112300396	0.0	0.0	0.0	0.0	-1.6641616e-08	-0.0069149276	0.0	0.0	0.014998426	-0.0015607551	100.0	0.0	79.0	0.577241	0.0050475737	245000	22308.182931900024
49	-5.51039	2.2323816	-0.4	-10.0	0.051948052	0.22192219	1.0	0.0	64.818184	390.0	0.00156	-0.04494399	0.041218318	0.09375959	-0.19968112	0.0	0.0	0.0	0.0	1.0871887e-08	-0.010716293	0.0	0.0	0.022736045	-0.0069301967	100.0	0.0	79.0	0.59018844	0.008332458	250000	22768.92707180977
50	-5.303846	2.1426942	-1.7	-10.0	0.012820513	0.11249955	1.0	0.0	63.333332	391.0	0.0015333333333333334	-0.057571515	0.07999375	0.12207483	-0.5789289	0.0	0.0	0.0	0.0	1.3828277e-08	-0.007616604	0.0	0.0	0.0135588655	-0.0064394153	100.0	0.0	79.0	0.62603587	0.007885416	255000	23221.78372693062
51	-5.835135	2.344253	-1.3	-10.0	0.027027028	0.16216217	1.0	0.0	67.567566	393.0	0.0015115384615384615	-0.045290556	0.03619794	0.09497299	-0.20049968	0.0	0.0	0.0	0.0	-8.010864e-09	-0.0069786916	0.0	0.0	0.008030229	-0.0041216	100.0	0.0	79.0	0.6382504	0.005186411	260000	23674.43575811386
52	-5.403846	2.3205018	-0.9	-10.0	0.025641026	0.15806188	1.0	0.0	63.76923	395.0	0.001490566037735849	-0.03322631	0.06171596	0.14545813	-0.9746381	0.0	0.0	0.0	0.0	8.5830685e-09	-0.008985828	0.0	0.0	0.009865969	-0.0017083194	100.0	0.0	79.0	0.63410777	0.006790039	265000	24133.684377670288
