Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
37	-3.3069565	1.3393523	-1.5	-7.0	0.0	0.0	0.0	0.0	43.304348	611.0	0.0032157894736842105	-0.01965892	0.029809268	0.03985531	-0.35993215	0.0	0.0	0.0	0.0	3.8146972e-10	-0.00898341	0.0	0.0	0.00041674604	-0.000149864	100.0	0.0	79.0	0.4667919	0.0061090067	190000	18403.207189559937
38	-3.4089284	1.1995202	-1.6	-7.0	0.008928572	0.09406833	1.0	0.0	44.5	612.0	0.0031384615384615383	-0.018685622	0.026878402	0.11647296	-0.1883371	0.0	0.0	0.0	0.0	-4.9591065e-09	-0.0067434856	0.0	0.0	0.006489797	-0.00065653306	100.0	0.0	79.0	0.43334913	0.008796016	195000	18887.51984024048
39	-3.8825235	1.4503717	-1.7	-7.0	0.0	0.0	0.0	0.0	48.54369	612.0	0.00306	-0.034693833	0.039557066	0.03960306	-0.30468854	0.0	0.0	0.0	0.0	-2.8324127e-08	-0.0068131275	0.0	0.0	0.00079870824	-0.0003852661	100.0	0.0	76.0	0.46446857	0.012256222	200000	19361.530316352844
40	-3.5199997	1.3070995	-1.6	-7.0	0.009090909	0.09491189	1.0	0.0	45.3	613.0	0.002990243902439024	-0.022068523	0.03080422	0.041729018	-0.21088983	0.0	0.0	0.0	0.0	-6.5803527e-09	-0.007197872	0.0	0.0	0.0067933593	-0.0003435514	100.0	0.0	56.0	0.50678694	0.012116012	205000	19841.970899105072
41	-3.2170935	1.1817914	-1.7	-7.0	0.017094018	0.12962179	1.0	0.0	42.60684	615.0	0.0029285714285714284	-0.024170948	0.028999547	0.03674319	-0.15068196	0.0	0.0	0.0	0.0	6.2942505e-09	-0.010560635	0.0	0.0	0.012000341	-0.0012457054	100.0	0.0	79.0	0.48050556	0.0070194765	210000	20325.174839019775
42	-3.3245616	1.1265194	-1.0	-7.0	0.00877193	0.09324689	1.0	0.0	43.763157	616.0	0.0028651162790697673	-0.034462318	0.047080174	0.19219954	-0.40014482	0.0	0.0	0.0	0.0	-1.0204316e-08	-0.0053638355	0.0	0.0	0.0068251276	-0.0008833348	100.0	0.0	79.0	0.5151941	0.0046762275	215000	20801.59979391098
43	-3.5081818	1.3663576	-1.6	-7.0	0.0	0.0	0.0	0.0	45.28182	616.0	0.0028	-0.028467275	0.041442394	0.066576265	-0.29455566	0.0	0.0	0.0	0.0	-3.4332275e-09	-0.0074711447	0.0	0.0	0.00092316896	-0.0004571283	100.0	0.0	79.0	0.4768595	0.0052121603	220000	21274.93620657921
44	-3.6962264	1.3920207	-1.0	-7.0	0.009433962	0.09666934	1.0	0.0	46.820755	617.0	0.0027422222222222223	-0.030946631	0.04190467	0.057927705	-0.29054365	0.0	0.0	0.0	0.0	-1.1062622e-08	-0.0068459306	0.0	0.0	0.007135422	-0.0010017199	100.0	0.0	23.0	0.4609666	0.012909427	225000	21750.98003911972
45	-3.489189	1.3292516	-1.1	-7.0	0.027027028	0.16216217	1.0	0.0	45.0	620.0	0.0026956521739130435	-0.02753757	0.033931836	0.05744907	-0.22997223	0.0	0.0	0.0	0.0	2.2888185e-09	-0.0044018244	0.0	0.0	0.0110204555	-0.0025853636	100.0	0.0	79.0	0.50950855	0.005362214	230000	22227.356473207474
46	-3.2826087	1.1968989	-1.3	-7.0	0.008695652	0.09284418	1.0	0.0	43.347828	621.0	0.002642553191489362	-0.028689526	0.047900513	0.2355342	-0.33956093	0.0	0.0	0.0	0.0	-1.7738342e-08	-0.0068698544	0.0	0.0	0.004427353	-0.0020136097	100.0	0.0	79.0	0.49737984	0.00528852	235000	22703.419860601425
47	-3.356637	1.1304221	-1.5	-7.0	0.0	0.0	0.0	0.0	44.17699	621.0	0.0025875	-0.017730135	0.02412942	0.0419668	-0.13467789	0.0	0.0	0.0	0.0	-7.6293943e-10	-0.0068042977	0.0	0.0	0.00032000022	-0.00022919907	100.0	0.0	79.0	0.49216112	0.0046346067	240000	23188.012010335922
48	-3.2724133	1.3845569	-1.2	-7.0	0.01724138	0.13016956	1.0	0.0	42.96552	623.0	0.0025428571428571427	-0.014878436	0.019310992	0.08048276	-0.13224198	0.0	0.0	0.0	0.0	3.4332275e-09	-0.0059867073	0.0	0.0	0.008646237	-0.0009379587	100.0	0.0	79.0	0.5033271	0.00757423	245000	23677.84700369835
49	-3.503604	1.4811689	-0.7	-7.0	0.027027028	0.16216217	1.0	0.0	44.74775	626.0	0.002504	-0.028250696	0.0290584	0.043922924	-0.22019386	0.0	0.0	0.0	0.0	5.2452087e-09	-0.009577755	0.0	0.0	0.016026117	-0.0021374896	100.0	0.0	79.0	0.49095243	0.008798703	250000	24152.95982027054
50	-3.5409088	1.4100481	-1.2	-7.0	0.009090909	0.0949119	1.0	0.0	45.30909	627.0	0.0024588235294117646	-0.04366418	0.04839408	0.1073057	-0.4662057	0.0	0.0	0.0	0.0	8.392334e-09	-0.005128278	0.0	0.0	0.0042361715	-0.0013232152	100.0	0.0	79.0	0.4596094	0.003308607	255000	24630.08891749382
51	-3.2042732	1.2449139	-1.2	-7.0	0.042735044	0.20225915	1.0	0.0	42.57265	632.0	0.0024307692307692307	-0.024529764	0.04021824	0.07642681	-0.34389302	0.0	0.0	0.0	0.0	3.7622453e-08	-0.0014983531	0.0	0.0	0.02597883	-0.0042085983	100.0	0.0	3.0	0.4631779	0.014623575	260000	25103.727827072144
